sku,code,item_name,in_case,coef,arge_group,category,brand,date,sales,month,year
700109,81078055.0,ARIEL HS WR 16x6*150gr P/B,96.00000,0.16667,,HS,Ariel,2018-01-01,0.0285,Jan,2018
737889,81687033.0,ARIEL HS WR 22x400gr,22.00000,1.0,,HS,Ariel,2018-01-01,0.13143,Jan,2018
737888,81687034.0,ARIEL HS WR 38x400gr P/B,38.00000,1.0,,HS,Ariel,2018-01-01,0.02601,Jan,2018
703930,81653897.0,ARIEL HS WR 23x750gr P/B,23.00000,1.0,,HS,Ariel,2018-01-01,0.0482,Jan,2018
703931,81653895.0,ARIEL HS WR 9x1.6Kg,9.00000,1.0,,HS,Ariel,2018-01-01,0.0326,Jan,2018
700158,81616651.0,ARIEL LS WR 22x450gr,22.00000,1.0,,LS,Ariel,2018-01-01,0.36216,Jan,2018
737804,81220646.0,ARIEL LS WR 10x1.5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,0.25929,Jan,2018
737800,81078036.0,ARIEL LS WR 6x3Kg,6.00000,1.0,,LS,Ariel,2018-01-01,0.23517,Jan,2018
703938,81568570.0,ARIEL LS WR 5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,0.23243,Jan,2018
737898,81687041.0,ARIEL LS Purple Color 10x1.5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,,Jan,2018
737942,81693797.0,ARIEL LS Lavander 10x1.5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,,Jan,2018
737801,81220283.0,ARIEL LS Lenor 10x1.5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,0.30366,Jan,2018
700180,81616649.0,ARIEL LS COLOR 22x450gr,22.00000,1.0,,LS,Ariel,2018-01-01,0.3675,Jan,2018
737802,81220651.0,ARIEL LS COLOR 10x1.5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,0.50625,Jan,2018
739016,81568566.0,ARIEL LS COLOR 6x2.5Kg RUS,6.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,0.27083,Jan,2018
703934,81568567.0,ARIEL LS COLOR 1x5Kg,1.00000,1.0,,LS,Ariel,2018-01-01,0.23576,Jan,2018
739160,81738748.0,ARIEL LS COLOR B15 1X9KG ORN CCAR,1.00000,1.0,,LS,Ariel,2018-01-01,,Jan,2018
739145,81738746.0,ARIEL LS WHITE ROSE B15 1X9KG ORN CCAR,1.00000,1.0,,LS,Ariel,2018-01-01,,Jan,2018
737767,81633261.0,ARIEL LQ Color 4x0.975L,4.00000,1.0,liquid,LQ,Ariel,2018-01-01,0.00825,Jan,2018
703824,81758827.0,ARIEL LQ MS 5x0.975L,5.00000,1.0,liquid,LQ,Ariel,2018-01-01,0.01245,Jan,2018
738928,81764882.0,ARIEL LQ AXE OXI 4X1.43L,4.00000,1.0,liquid,LQ,Ariel,2018-01-01,,Jan,2018
737980,81679830.0,ARIEL LQ BABY 4X1.3L/20SC-POS-CAU,4.00000,1.0,liquid,LQ,Ariel,2018-01-01,,Jan,2018
700096,81754022.0,ARIEL HS MS 11x450gr RUS,11.00000,1.0,hs,HS,Ariel,2018-01-01,,Jan,2018
738312,81450004.0,ARIEL LS Color 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Ariel,2018-01-01,,Jan,2018
738317,81727500.0,ARIEL LS COL 10X1.5KG VO EE,1.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,,Jan,2018
738321,,ARIEL LS TOL COL 6X3KG VO EE,6.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,,Jan,2018
738320,81757074.0,ARIEL LS COLOR 6x3Kg RUS,6.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,,Jan,2018
738328,81552308.0,ARIEL LS Color 4.5Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
739018,81450006.0,ARIEL LS Lenor-Col 4.5Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738334,81220656.0,ARIEL LS COLOR 6Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738338,81757076.0,ARIEL LS COLOR 9Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738315,81450001.0,ARIEL LS MS 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Ariel,2018-01-01,,Jan,2018
739155,81727488.0,ARIEL LS MS 6X2.5KG VO EE,6.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,,Jan,2018
738324,81757070.0,ARIEL LS MS 6X3KG DS EECAR,6.00000,1.0,1-3 kg,LS,Ariel,2018-01-01,,Jan,2018
739154,81450005.0,ARIEL LS MS 4.5Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738335,81220245.0,ARIEL LS MS 6Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738339,81757073.0,ARIEL LS MS 9Kg RUS,1.00000,1.0,4 kg & big,LS,Ariel,2018-01-01,,Jan,2018
738305,81702123.0,ARIEL PODS Color 6x12x23.8g,6.00000,1.0,pods,pods,Ariel,2018-01-01,,Jan,2018
738424,81702136.0,ARIEL PODS Color 3x30x27g,3.00000,1.0,pods,pods,Ariel,2018-01-01,,Jan,2018
738306,81702127.0,ARIEL PODS MS 6x12x25.2g,6.00000,1.0,pods,pods,Ariel,2018-01-01,,Jan,2018
737796,81702131.0,ARIEL PODS MS 3x30x25.2g,3.00000,1.0,pods,pods,Ariel,2018-01-01,,Jan,2018
703398,81719660.0,ARIEL PODS MS 3x23x27g,3.00000,1.0,pods,pods,Ariel,2018-01-01,0.02484,Jan,2018
703399,81490439.0,ARIEL PODS Color 3x23x28.8g,3.00000,1.0,pods,pods,Ariel,2018-01-01,0.03358,Jan,2018
737885,81687036.0,TIDE HS LEMON 22x400gr,22.00000,1.0,hs,HS,Tide,2018-01-01,0.1413,Jan,2018
737887,81687037.0,TIDE HS Lemon P/B 38x400gr,38.00000,1.0,hs,HS,Tide,2018-01-01,0.0138,Jan,2018
703943,81653898.0,TIDE HS Lemon P/B 23x750gr,23.00000,1.0,hs,HS,Tide,2018-01-01,0.0354,Jan,2018
737886,81687035.0,TIDE LS LEMON 22X400gr,22.00000,1.0,400-450 gr,LS,Tide,2018-01-01,0.21576,Jan,2018
703941,81568562.0,TIDE LS LEMON 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.14661,Jan,2018
703942,81568563.0,TIDE LS LEMON 6x2.5KG,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.148,Jan,2018
737971,81687038.0,TIDE LS COLOR 22x400gr,22.00000,1.0,400-450 gr,LS,Tide,2018-01-01,0.37734,Jan,2018
703939,81568559.0,TIDE LS COLOR 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.44001,Jan,2018
703940,81568560.0,TIDE LS COLOR 6x2.5KG,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.2575,Jan,2018
703913,81568561.0,TIDE LS COLOR 5KG,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,1.34832,Jan,2018
737890,81685645.0,TIDE LS LAVENDER 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738357,81749618.0,TIDE HS AF 11x400gr RUS,11.00000,1.0,hs,LS,Tide,2018-01-01,,Jan,2018
738362,81749599.0,TIDE LS AF 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Tide,2018-01-01,,Jan,2018
738359,81749602.0,TIDE LS Color 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Tide,2018-01-01,,Jan,2018
739152,81722946.0,TIDE LS Color 10x1.2KG RUS,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738363,81749605.0,TIDE LS Color 10x1.5kg RUS,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
739151,81749613.0,TIDE LS Color 6x2.5kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
739157,81722968.0,TIDE LS AF 6x2.5kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738365,81193589.0,TIDE LS COLOR 6x3KG RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738366,81201002.0,TIDE LS Lenor+Color 6x3kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738368,81201005.0,TIDE LS AF 6x3kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738377,81769353.0,TIDE LS AF 1x6kg RUS,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
739403,81201001.0,TIDE LS LAV&BIRCH WATER 6X3KG EECAR,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738376,81722960.0,TIDE LS COLOR (B15) 1X6KG VO EECAR,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
