CSKU,1C code,Item name,in case,coif,arge_group,category,brand,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22
700109,81078055,ARIEL HS WR 16x6*150gr P/B,96.00000,0.16667,,HS,Ariel,0.02850,0.04254,0.05994,0.03480,0.05184,0.05442,0.06780,0.06312,0.07482,0.04560,0.03966,0.03360,0.00846,0.03672,0.03456,0.02190,0.05184,0.02826,0.04884,0.04956,0.01926,0.03996,0.04284,0.02610,0.01542,0.02112,0.02376,0.01479,0.01753,0.03576,0.02864,0.02516,0.00013,0.00057,0.00001,-0.00009,0.00001,,0.00017,0.00004,,,,,,,,,,,,,,,-0.00036,,,
737889,81687033,ARIEL HS WR 22x400gr,22.00000,1.00000,,HS,Ariel,0.13143,0.25338,0.37626,0.26310,0.27156,0.40581,0.43779,0.33369,0.38491,0.22167,0.27303,0.21938,0.03426,0.18508,0.13262,0.15639,0.30906,0.21094,0.27474,0.28039,0.18923,0.20436,0.20788,0.19910,0.09033,0.13190,0.22960,0.13729,0.08846,0.16708,0.24612,0.16844,0.15732,0.11441,0.12145,0.15044,0.04411,0.11094,0.04590,0.07214,0.02664,0.00605,0.00288,,,,,,,,,,,,-0.00037,,,
737888,81687034,ARIEL HS WR 38x400gr P/B,38.00000,1.00000,,HS,Ariel,0.02601,0.03051,0.04587,0.05325,0.03531,0.04449,0.05754,0.04011,0.04776,0.04686,0.01746,0.03273,0.00471,0.03351,0.01496,0.01256,0.02929,0.02304,0.03042,0.04487,0.03204,0.02503,0.02496,0.02247,0.00696,0.01786,0.01584,0.00965,0.01146,0.01871,0.02138,0.01501,0.02399,0.01885,0.03879,0.01871,0.00709,0.01274,0.01429,0.04409,-0.00027,0.00013,0.00027,0.00099,,,-0.00003,-0.00003,,,,-0.00011,-0.00009,,,,,
703930,81653897,ARIEL HS WR 23x750gr P/B,23.00000,1.00000,,HS,Ariel,0.04820,0.06745,0.11985,0.09985,0.10100,0.11900,0.14595,0.11095,0.12975,0.11010,0.06230,0.08185,0.01315,0.10185,0.06605,0.05490,0.10375,0.07035,0.09740,0.11930,0.06120,0.06555,0.06360,0.08050,0.03180,0.03510,0.09200,0.03930,0.04470,0.06875,0.07985,0.05660,0.07295,0.04215,0.06875,0.08060,0.01915,0.03620,0.02765,0.03785,-0.00050,,0.00110,0.00055,,,,-0.00055,,,,,,-0.00005,,,,
703931,81653895,ARIEL HS WR 9x1.6Kg,9.00000,1.00000,,HS,Ariel,0.03260,0.04644,0.09212,0.07573,0.05867,0.12185,0.12576,0.09003,0.10741,0.10496,0.04437,0.06432,0.01205,0.07317,0.05771,0.05408,0.09536,0.04629,0.08384,0.11243,0.02389,0.07029,0.05589,0.08565,0.03936,0.04800,0.09003,0.05845,0.05397,0.06283,0.07552,0.06603,0.06635,0.04331,0.06912,0.07477,0.01931,0.03200,0.02635,0.05611,0.01419,,-0.00939,0.00875,,,-0.00011,-0.00085,,,,,-0.00043,-0.00011,,,,
700158,81616651,ARIEL LS WR 22x450gr,22.00000,1.00000,,LS,Ariel,0.36216,0.42906,0.68904,0.44682,0.71409,0.90279,0.98982,0.73083,1.03185,0.41691,0.43104,0.78126,0.07395,0.84021,0.45948,0.44940,0.75147,0.59901,0.85374,0.66684,0.47310,0.74739,0.91131,0.60342,0.19686,0.45144,0.44088,0.31032,0.36468,0.45177,0.50754,0.55260,0.56448,0.25512,0.25326,0.53316,0.13659,0.23460,0.21456,0.21411,0.09750,0.00957,0.00768,-0.00048,0.00477,0.00066,0.00024,0.00417,,,,,,,,,,
737804,81220646,ARIEL LS WR 10x1.5Kg,1.00000,1.00000,,LS,Ariel,0.25929,0.35352,0.56016,0.36810,0.55881,0.73120,1.02640,0.54950,0.76490,0.48950,0.44460,0.45720,0.07360,0.40850,0.42688,0.38658,0.55730,0.44080,0.71930,0.75260,0.58498,0.50860,0.59881,0.68080,0.24680,0.49750,0.69300,0.46540,0.56560,0.51750,0.79050,0.60640,0.63520,0.41330,0.55810,0.78740,0.20100,0.28270,0.09361,0.30737,0.03222,,,-0.00010,,,,,,,,,-0.00030,,,,,
737800,81078036,ARIEL LS WR 6x3Kg,6.00000,1.00000,,LS,Ariel,0.23517,0.32550,0.53383,0.39250,0.46833,1.46280,0.69940,0.67100,0.56803,0.52660,0.30080,0.53440,0.08940,0.40500,0.28020,0.24300,0.47680,0.39540,0.41100,0.63020,0.25980,0.30960,0.54763,0.54220,0.22920,0.47060,0.97900,0.39000,0.51900,0.76340,0.77920,0.72300,0.58080,0.37660,0.69820,1.01760,0.20540,0.26740,-0.00060,0.06080,,-0.00040,,0.00360,,,,,,,,,0.00060,,-0.00100,0.00020,,
703938,81568570,ARIEL LS WR 5Kg,1.00000,1.00000,,LS,Ariel,0.23243,0.34133,0.57110,0.40926,0.39560,0.70996,0.63137,0.52647,0.45854,0.87978,0.32879,0.52980,0.05395,0.39061,0.24376,2.19713,2.00566,2.53180,0.13387,0.43257,0.18049,0.55078,0.38661,0.71828,-0.00799,0.47419,0.63237,0.56310,0.51782,0.79787,1.00666,1.01765,0.54612,0.35564,0.60972,0.74026,0.12887,1.57143,0.41891,0.17915,0.21012,1.76590,0.82751,0.37429,0.91342,0.17682,,-0.00200,,,,,-0.00300,,-0.00133,-0.00167,-0.00799,
737898,81687041,ARIEL LS Purple Color 10x1.5Kg,1.00000,1.00000,,LS,Ariel,,,,,,,,,,0.04100,0.57160,0.64040,0.06090,0.64380,0.18030,0.11810,0.46780,0.26680,0.56380,0.47050,0.16370,0.30630,0.40230,0.50200,0.08310,0.31530,0.28380,0.22170,0.41140,0.24028,0.38060,0.34290,0.33610,0.08790,0.00260,0.00480,,,-0.00020,,-0.00010,,,,,,,,,,,,,,,,,
